price,property_type,address,bed,bath,parking,link
550,Apartment,"513A/160 Grote Street, Adelaide SA 5000",2,1,0,https://www.rent.com.au/property/513a-160-grote-st-adelaide-sa-5000-5000910
425,Apartment,"313/160 Grote Street, Adelaide SA 5000",1,1,0,https://www.rent.com.au/property/313-160-grote-st-adelaide-sa-5000-4321232
360,Apartment,"407/281-286 North Terrace, Adelaide SA 5000",1,1,0,https://www.rent.com.au/property/407-281-286-north-tce-adelaide-sa-5000-5000046
300,Apartment,"16/26 South Terrace, Adelaide SA 5000",1,1,1,https://www.rent.com.au/property/16-26-south-tce-adelaide-sa-5000-4999583
700,Apartment,"707/62 South Terrace, Adelaide SA 5000",2,2,1,https://www.rent.com.au/property/707-62-south-tce-adelaide-sa-5000-4999360
440,Unit,"32/81 Carrington Street, Adelaide SA 5000",2,1,1,https://www.rent.com.au/property/32-81-carrington-st-adelaide-sa-5000-4999228
500,Apartment,"20/223 North Terrace, Adelaide SA 5000",1,1,1,https://www.rent.com.au/property/20-223-north-tce-adelaide-sa-5000-4998979
352,Apartment,"302/180 Morphett Street, Adelaide SA 5000",1,1,0,https://www.rent.com.au/property/302-180-morphett-st-adelaide-sa-5000-4998219
420,Apartment,"2/7 Royal Place, Adelaide SA 5000",2,1,0,https://www.rent.com.au/property/2-7-royal-pl-adelaide-sa-5000-4998134
,Apartment,"2409/17 Austin Street, Adelaide SA 5000",2,2,1,https://www.rent.com.au/property/2409-17-austin-st-adelaide-sa-5000-4997975
360,Apartment,"1/21 Pulteney Street Street, Adelaide SA 5000",1,1,0,https://www.rent.com.au/property/1-21-pulteney-street-st-adelaide-sa-5000-4245050
380,Unit,"38B/188 Carrington Street, Adelaide SA 5000",1,1,1,https://www.rent.com.au/property/38b-188-carrington-st-adelaide-sa-5000-4997502
295,Unit,"8/311 South Terrace, Adelaide SA 5000",1,1,0,https://www.rent.com.au/property/8-311-south-tce-adelaide-sa-5000-4997418
